"Reference","Qty","Value","Exclude from BOM","Footprint","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"C1,C17","2","0.1uF 16V","","CAPC1608X90N","Kyocera AVX","0603YC104K4T4A","581-0603YC104K4T4A","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/0603YC104K4T4A?qs=Cej1j9ztgjEkPqVJkA4Bng%3D%3D"
"C6,C29,C34","3","0.1uF 6.3V","","CAPC2012X140N","Kyocera AVX","08056D104KAT2A","581-08056D104KAT2A","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/08056D104KAT2A?qs=ZBeOGGPQgEFSiSMjaoxiBA%3D%3D"
"C7,C8,C9","3","0.1uF 50V","","CAPC2012X94N","Kyocera AVX","KAM21BR71H104JT","581-KAM21BR71H104JT","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/KAM21BR71H104JT?qs=Jm2GQyTW%2Fbic6Zk4McEt6w%3D%3D"
"C10,C16","2","1uF 16V","","CAPC2012X145N","Kyocera AVX","KGM21AR71C105JU","581-KGM21AR71C105JU","https://www.mouser.co.uk/ProductDetail/KYOCERA-AVX/KGM21AR71C105JU?qs=Jm2GQyTW%2FbgRn%252Bi87%2FZsQQ%3D%3D"
"C11,C12,C13","3","10uF 50V","","CAPC3225X270N","TAIYO YUDEN","UMK325C7106KM-T","963-UMK325C7106KM-T","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/UMK325C7106KM-T?qs=PzICbMaShUfPIZP%2F%2Fm%2FNew%3D%3D"
"C14","1","1uF 6.3V","","CAPC1005X55N","TAIYO YUDEN","JMK105BJ105KV-F","963-JMK105BJ105KV-F","https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/JMK105BJ105KV-F?qs=I6KAKw0tg2yJ6Hx%2Fbib9CA%3D%3D"
"C15","1","0.047uF 50V","","CAPC1608X90N","YAGEO","AC0603KPX7R9BB473","603-AC603KPX7R9BB473","https://www.mouser.co.uk/ProductDetail/YAGEO/AC0603KPX7R9BB473?qs=A6eO%252BMLsxmQR%252BGuuoVGLIQ%3D%3D"
"C18","1","0.047 50V","","CAPC1608X90N","YAGEO","AC0603KPX7R9BB473","603-AC603KPX7R9BB473","https://www.mouser.co.uk/ProductDetail/YAGEO/AC0603KPX7R9BB473?qs=A6eO%252BMLsxmQR%252BGuuoVGLIQ%3D%3D"
"C19,C20,C21","3","47uF 10V","","CAPC2012X145N","Murata Electronics","GRM21BR61A476ME15L","81-GRM21BR61A476ME5L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM21BR61A476ME15L?qs=hNud%2FORuBR2%2FEB7WUpdltg%3D%3D"
"C22,C23","2","4.7uF 50V","","CAPC3216X229N","Kyocera AVX","12065D475MAT2A","581-12065D475MAT2A","https://www.mouser.co.uk/ProductDetail/Kyocera-AVX/12065D475MAT2A?qs=ZBeOGGPQgEE6l2JlGqsrwg%3D%3D"
"C24,C32","2","0.01uF 6.3V","","C0603","KEMET","C0603C103K9RACTU","80-C0603C103K9R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C103K9RACTU?qs=r%2FVmNO8Tjq6U7vsVOlbauA%3D%3D"
"C25","1","0.47uF 10V","","CAPC1608X90N","Murata Electronics","GRM188R71A474JA61J","",""
